Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,TABUK,Northern,Nationals,Male,30,Postpaid,HV,3,3,50,8,0,,8,5,,10,10,10,
Mobily,Other,Others,Nationals,Male,35,Prepaid,LV,3,2,25,10,10,,10,5,,10,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,35,Prepaid,LV,5,5,150,10,10,,10,10,10,10,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,32,Postpaid,HV,5,1,50,10,10,,10,8,10,9,,10,
Mobily,AR RIYADH,Central,Nationals,Female,43,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,25,Prepaid,VLV,3,1,0,0,0,,0,0,,0,,,
Mobily,Other,Others,Nationals,Male,28,Prepaid,MV,5,5,150,9,9,,10,10,9,8,10,,
Mobily,AR RIYADH,Central,Nationals,Male,27,Postpaid,VHV,1,1,-50,5,4,,4,0,,2,5,,4
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,35,Postpaid,MV,5,4,125,10,9,10,10,9,10,10,8,,
Mobily,NAJRAN,South,Nationals,Male,24,Prepaid,MV,5,3,100,6,5,,7,4,10,10,10,10,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,23,Prepaid,VLV,5,4,125,10,9,,10,8,,10,,,
Mobily,JEDDAH,Western,Expat Asians,Female,26,Postpaid,LV,5,5,150,10,10,,10,10,,10,,,10
Mobily,JEDDAH,Western,Expat Arabs,Male,45,Prepaid,VLV,5,5,150,10,10,,10,10,,10,,,
Mobily,JEDDAH,Western,Nationals,Male,51,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10,7,,
Mobily,JEDDAH,Western,Expat Arabs,Male,18,Prepaid,VLV,5,1,50,10,10,,10,10,10,10,10,10,
Mobily,AR RIYADH,Central,Expat Arabs,Male,23,Postpaid,VHV,4,4,100,10,10,,10,10,,10,10,10,10
Mobily,AD DAMMAM,Eastern,Nationals,Female,40,Prepaid,LV,4,4,100,10,8,9,8,10,10,10,,,
Mobily,AR'AR,Northern,Nationals,Female,40,Postpaid,VLV,4,3,75,10,10,,10,10,,10,,,
